year,month,name,temperature,humidity
2009,1,高雄,18.4,68
2009,1,臺南,16.7,70
2009,2,高雄,23.4,75
2009,2,臺南,22.4,76
2009,3,高雄,23.1,74
2009,3,臺南,21.6,76
2009,4,高雄,24.8,73
2009,4,臺南,23.9,75
2009,5,高雄,27.3,71
2009,5,臺南,27.2,70
2009,6,高雄,28.5,77
2009,6,臺南,28.6,75
2009,7,高雄,29.2,80
2009,7,臺南,29.6,74
2009,8,高雄,29.2,81
2009,8,臺南,29.6,76
2009,9,高雄,29.4,77
2009,9,臺南,30.0,72
2009,10,高雄,26.8,75
2009,10,臺南,26.5,71
2009,11,高雄,23.9,73
2009,11,臺南,23.1,72
2009,12,高雄,20.3,70
2009,12,臺南,18.8,70
2010,1,高雄,19.9,72
2010,1,臺南,18.3,70
2010,2,高雄,21.5,74
2010,2,臺南,20.2,74
2010,3,高雄,23.7,69
2010,3,臺南,22.8,66
2010,4,高雄,24.9,74
2010,4,臺南,23.7,70
2010,5,高雄,27.8,75
2010,5,臺南,27.6,71
2010,6,高雄,28.3,79
2010,6,臺南,28.1,75
2010,7,高雄,29.5,76
2010,7,臺南,29.3,72
2010,8,高雄,29.4,78
2010,8,臺南,29.6,71
2010,9,高雄,28.3,80
2010,9,臺南,28.4,74
2010,10,高雄,27.0,76
2010,10,臺南,26.3,72
2010,11,高雄,23.7,74
2010,11,臺南,22.1,73
2010,12,高雄,20.9,67
2010,12,臺南,19.2,66
2011,1,高雄,17.5,72
2011,1,臺南,15.4,74
2011,2,高雄,20.1,72
2011,2,臺南,17.9,73
2011,3,高雄,21.4,68
2011,3,臺南,19.2,68
2011,4,高雄,24.6,69
2011,4,臺南,23.9,66
2011,5,高雄,27.2,75
2011,5,臺南,26.7,72
2011,6,高雄,29.3,76
2011,6,臺南,29.1,72
2011,7,高雄,28.7,79
2011,7,臺南,28.7,75
2011,8,高雄,29.4,76
2011,8,臺南,29.5,72
2011,9,高雄,28.7,75
2011,9,臺南,28.7,69
2011,10,高雄,26.9,76
2011,10,臺南,26.2,72
2011,11,高雄,25.1,78
2011,11,臺南,24.0,78
2011,12,高雄,20.0,75
2011,12,臺南,18.4,75
2012,1,高雄,21.1,74
2012,1,臺南,19.5,72
2012,2,高雄,20.0,75
2012,2,臺南,17.6,79
2012,3,高雄,23.6,71
2012,3,臺南,21.3,73
2012,4,高雄,26.6,77
2012,4,臺南,26.1,73
2012,5,高雄,28.0,78
2012,5,臺南,27.6,78
2012,6,高雄,28.5,82
2012,6,臺南,28.1,83
2012,7,高雄,29.5,77
2012,7,臺南,29.3,79
2012,8,高雄,28.1,83
2012,8,臺南,28.0,84
2012,9,高雄,28.7,73
2012,9,臺南,28.5,68
2012,10,高雄,26.6,69
2012,10,臺南,25.6,69
2012,11,高雄,24.9,75
2012,11,臺南,23.6,74
2012,12,高雄,21.1,74
2012,12,臺南,19.5,72
2013,1,高雄,19.7,71
2013,1,臺南,17.5,73
2013,2,高雄,22.3,73
2013,2,臺南,20.4,73
2013,3,高雄,23.9,71
2013,3,臺南,22.5,71
2013,4,高雄,25.1,76
2013,4,臺南,23.9,76
2013,5,高雄,27.6,82
2013,5,臺南,27.3,79
2013,6,高雄,29.8,77
2013,6,臺南,29.5,75
2013,7,高雄,29.7,75
2013,7,臺南,29.4,73
2013,8,高雄,29.0,81
2013,8,臺南,28.9,79
2013,9,高雄,28.6,77
2013,9,臺南,28.6,74
2013,10,高雄,26.6,69
2013,10,臺南,25.7,69
2013,11,高雄,24.3,71
2013,11,臺南,22.8,71
2013,12,高雄,19.9,67
2013,12,臺南,18.0,72
2014,1,高雄,19.5,64
2014,1,臺南,17.6,68
2014,2,高雄,20.3,70
2014,2,臺南,18.4,75
2014,3,高雄,22.6,72
2014,3,臺南,21.3,71
