year,month,name,temperature,humidity
2009,1,板橋,15.3,75
2009,1,嘉義,15.6,77
2009,1,恆春,20.1,67
2009,1,新竹,14.7,72
2009,1,花蓮,17.8,69
2009,1,高雄,18.4,68
2009,1,基隆,15.5,75
2009,1,金門,12.4,68
2009,1,馬祖,9.8,75
2009,1,澎湖,16.4,73
2009,1,日月潭,13.2,73
2009,1,臺中,15.5,72
2009,1,臺南,16.7,70
2009,1,臺北,15.7,74
2009,1,臺東,18.9,65
2009,1,宜蘭,16.2,69
2009,2,板橋,20.0,77
2009,2,嘉義,21.5,81
2009,2,恆春,23.4,75
2009,2,新竹,19.3,78
2009,2,花蓮,21.2,77
2009,2,高雄,23.4,75
2009,2,基隆,19.0,83
2009,2,金門,16.2,78
2009,2,馬祖,12.7,86
2009,2,澎湖,20.3,83
2009,2,日月潭,18.3,75
2009,2,臺中,21.3,74
2009,2,臺南,22.4,76
2009,2,臺北,20.2,77
2009,2,臺東,22.5,74
2009,2,宜蘭,20.2,75
2009,3,板橋,18.4,78
2009,3,嘉義,20.1,85
2009,3,恆春,23.6,73
2009,3,新竹,18.1,77
2009,3,花蓮,20.7,77
2009,3,高雄,23.1,74
2009,3,基隆,18.0,79
2009,3,金門,15.2,78
2009,3,馬祖,12.4,83
2009,3,澎湖,19.4,80
2009,3,日月潭,17.4,85
2009,3,臺中,19.9,77
2009,3,臺南,21.6,76
2009,3,臺北,18.6,78
2009,3,臺東,22.2,73
2009,3,宜蘭,19.4,71
2009,4,板橋,21.1,73
2009,4,嘉義,22.5,83
2009,4,恆春,24.1,72
2009,4,新竹,21.3,69
2009,4,花蓮,21.5,75
2009,4,高雄,24.8,73
2009,4,基隆,20.8,72
2009,4,金門,18.8,72
2009,4,馬祖,16.1,83
2009,4,澎湖,22.1,76
2009,4,日月潭,18.1,87
2009,4,臺中,22.5,72
2009,4,臺南,23.9,75
2009,4,臺北,21.3,72
2009,4,臺東,22.7,72
2009,4,宜蘭,21.0,73
2009,5,板橋,25.1,67
2009,5,嘉義,25.7,80
2009,5,恆春,26.6,66
2009,5,新竹,25.2,64
2009,5,花蓮,24.8,74
2009,5,高雄,27.3,71
2009,5,基隆,24.2,69
2009,5,金門,22.9,73
2009,5,馬祖,20.8,83
2009,5,澎湖,25.5,74
2009,5,日月潭,20.5,82
2009,5,臺中,25.9,68
2009,5,臺南,27.2,70
2009,5,臺北,25.3,65
2009,5,臺東,25.7,70
2009,5,宜蘭,24.3,71
2009,6,板橋,27.8,75
2009,6,嘉義,28.1,81
2009,6,恆春,28.2,81
2009,6,新竹,27.9,71
2009,6,花蓮,27.4,80
2009,6,高雄,28.5,77
2009,6,基隆,27.4,74
2009,6,金門,26.4,86
2009,6,馬祖,24.7,88
2009,6,澎湖,27.7,82
2009,6,日月潭,22.0,86
2009,6,臺中,27.8,75
2009,6,臺南,28.6,75
2009,6,臺北,28.2,73
2009,6,臺東,28.1,77
2009,6,宜蘭,27.3,77
2009,7,板橋,29.9,72
2009,7,嘉義,29.3,80
2009,7,恆春,29.1,81
2009,7,新竹,29.7,70
2009,7,花蓮,28.7,76
2009,7,高雄,29.2,80
2009,7,基隆,29.4,74
2009,7,金門,28.5,84
2009,7,馬祖,27.5,89
2009,7,澎湖,28.8,82
2009,7,日月潭,22.9,88
2009,7,臺中,29.1,72
2009,7,臺南,29.6,74
2009,7,臺北,30.1,70
2009,7,臺東,28.9,79
2009,7,宜蘭,28.8,77
2009,8,板橋,29.5,75
2009,8,嘉義,28.7,84
2009,8,恆春,28.9,82
2009,8,新竹,29.4,73
2009,8,花蓮,28.9,79
2009,8,高雄,29.2,81
2009,8,基隆,28.9,79
2009,8,金門,29.1,81
2009,8,馬祖,28.0,91
2009,8,澎湖,28.8,82
2009,8,日月潭,22.9,89
2009,8,臺中,28.7,76
2009,8,臺南,29.6,76
2009,8,臺北,29.8,74
2009,8,臺東,29.1,78
2009,8,宜蘭,28.9,78
2009,9,板橋,29.1,70
2009,9,嘉義,28.9,80
2009,9,恆春,28.6,76
2009,9,新竹,29.7,67
2009,9,花蓮,27.8,80
2009,9,高雄,29.4,77
2009,9,基隆,28.1,78
2009,9,金門,28.8,70
2009,9,馬祖,26.8,89
2009,9,澎湖,29.1,78
2009,9,日月潭,23.3,85
2009,9,臺中,29.3,70
2009,9,臺南,30.0,72
2009,9,臺北,29.0,72
2009,9,臺東,28.5,76
2009,9,宜蘭,27.4,79
2009,10,板橋,24.1,75
2009,10,嘉義,25.0,80
2009,10,恆春,26.4,73
2009,10,新竹,24.6,74
2009,10,花蓮,25.1,74
2009,10,高雄,26.8,75
2009,10,基隆,23.8,80
2009,10,金門,24.5,61
2009,10,馬祖,22.4,79
2009,10,澎湖,25.5,73
2009,10,日月潭,20.8,85
2009,10,臺中,25.7,68
2009,10,臺南,26.5,71
2009,10,臺北,24.3,76
2009,10,臺東,26.1,74
2009,10,宜蘭,23.5,80
2009,11,板橋,21.3,75
2009,11,嘉義,21.6,78
2009,11,恆春,24.3,71
2009,11,新竹,21.1,79
2009,11,花蓮,22.7,70
2009,11,高雄,23.9,73
2009,11,基隆,20.9,81
2009,11,金門,19.3,70
2009,11,馬祖,16.8,86
2009,11,澎湖,21.9,78
2009,11,日月潭,18.2,82
2009,11,臺中,22.0,72
2009,11,臺南,23.1,72
2009,11,臺北,21.5,77
2009,11,臺東,23.6,74
2009,11,宜蘭,21.1,79
2009,12,板橋,16.8,75
2009,12,嘉義,17.5,75
2009,12,恆春,21.4,69
2009,12,新竹,16.6,77
2009,12,花蓮,18.9,67
2009,12,高雄,20.3,70
2009,12,基隆,16.9,76
2009,12,金門,14.4,73
2009,12,馬祖,12.2,84
2009,12,澎湖,18.3,74
2009,12,日月潭,14.2,80
2009,12,臺中,17.7,72
2009,12,臺南,18.8,70
2009,12,臺北,17.2,75
2009,12,臺東,19.7,72
2009,12,宜蘭,17.1,74
2010,1,板橋,16.7,76
2010,1,嘉義,17.2,75
2010,1,恆春,21.3,68
2010,1,新竹,15.9,77
2010,1,花蓮,18.5,75
2010,1,高雄,19.9,72
2010,1,基隆,16.5,81
2010,1,金門,13.3,75
2010,1,馬祖,10.5,88
2010,1,澎湖,17.5,75
2010,1,日月潭,14.4,78
2010,1,臺中,17.1,75
2010,1,臺南,18.3,70
2010,1,臺北,16.9,78
2010,1,臺東,19.9,72
2010,1,宜蘭,16.6,78
2010,2,板橋,17.3,82
2010,2,嘉義,19.1,77
2010,2,恆春,22.7,76
2010,2,新竹,16.7,84
2010,2,花蓮,20.2,77
2010,2,高雄,21.5,74
2010,2,基隆,16.6,88
2010,2,金門,13.3,84
2010,2,馬祖,11.4,91
2010,2,澎湖,18.5,83
2010,2,日月潭,16.1,78
2010,2,臺中,18.5,80
2010,2,臺南,20.2,74
2010,2,臺北,17.6,84
2010,2,臺東,21.9,76
2010,2,宜蘭,18.3,80
2010,3,板橋,19.7,74
2010,3,嘉義,21.4,73
2010,3,恆春,23.9,72
2010,3,新竹,19.0,75
2010,3,花蓮,21.0,72
2010,3,高雄,23.7,69
